
Name                                               AppID
----                                               -----
Access                                             Microsoft.Office.MSACCESS.EXE.15
AccessEnum                                         Microsoft.SysinternalsSuite_8wekyb3d8bbwe!AccessEnum
ADExplorer                                         Microsoft.SysinternalsSuite_8wekyb3d8bbwe!ADExplorer
ADInsight                                          Microsoft.SysinternalsSuite_8wekyb3d8bbwe!ADInsight
AnythingLLM                                        com.anythingllm
Application Finder (Ubuntu-22.04)                  Microsoft.AutoGenerated.{AB774679-E5AB-DAFA-0D2C-B90BDAAD0797}
ARM architecture family - Wikipedia                Chrome._crx_mdmmikgljcnmnnocifioioaipe
Autologon                                          Microsoft.SysinternalsSuite_8wekyb3d8bbwe!Autologon
Autoruns                                           Microsoft.SysinternalsSuite_8wekyb3d8bbwe!Autoruns
BGInfo                                             Microsoft.SysinternalsSuite_8wekyb3d8bbwe!Bginfo
Bulk Rename (Ubuntu-22.04)                         Microsoft.AutoGenerated.{08F76F04-064B-E306-9B92-E476059C2902}
CacheSet                                           Microsoft.SysinternalsSuite_8wekyb3d8bbwe!Cacheset
Calculator                                         Microsoft.WindowsCalculator_8wekyb3d8bbwe!App
Camera                                             Microsoft.WindowsCamera_8wekyb3d8bbwe!App
Character Map                                      {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\charmap.exe
Chromium Web Browser (Ubuntu-22.04)                Microsoft.AutoGenerated.{BF3F6509-AA81-8377-DA36-738E6638D203}
Click to Do                                        MicrosoftWindows.Client.CoreAI_cw5n1h2txyewy!ClickToDoApp
Clock                                              Microsoft.WindowsAlarms_8wekyb3d8bbwe!App
Command Palette                                    Microsoft.CommandPalette_8wekyb3d8bbwe!App
Command Prompt                                     {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\cmd.exe
Component Services                                 {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\comexp.msc
Computer Management                                Microsoft.AutoGenerated.{8ABD94FB-E7D6-84A6-A997-C918EDDE0AE5}
Control Panel                                      Microsoft.Windows.ControlPanel
Copilot                                            Microsoft.Copilot_8wekyb3d8bbwe!App
CPU Stress                                         Microsoft.SysinternalsSuite_8wekyb3d8bbwe!CPUSTRES
DebugView                                          Microsoft.SysinternalsSuite_8wekyb3d8bbwe!Dbgview
Defragment and Optimize Drives                     {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\dfrgui.exe
Desktops                                           Microsoft.SysinternalsSuite_8wekyb3d8bbwe!Desktops
Diagnostic Data Viewer                             Microsoft.DiagnosticDataViewer_8wekyb3d8bbwe!App
Dictionary (Ubuntu-22.04)                          Microsoft.AutoGenerated.{A6EF0F1E-D13E-3464-0E25-13AFC40928F4}
Discord                                            com.squirrel.Discord.Discord
Disk Cleanup                                       {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\cleanmgr.exe
Disk2vhd                                           Microsoft.SysinternalsSuite_8wekyb3d8bbwe!disk2vhd
Diskmon                                            Microsoft.SysinternalsSuite_8wekyb3d8bbwe!Diskmon
DiskView                                           Microsoft.SysinternalsSuite_8wekyb3d8bbwe!DiskView
Documentation                                      https://www.videolan.org/doc/
Dolby Access                                       DolbyLaboratories.DolbyAccess_rz1tebttyb220!App
Dropbox                                            Dropbox.Desktop.Client
Dropbox Website                                    https://www.dropbox.com
EchoLink                                           {7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\K1RFD\EchoLink\EchoLink.exe
Event Viewer                                       Microsoft.AutoGenerated.{BB044BFD-25B7-2FAA-22A8-6371A93E0456}
Excel                                              Microsoft.Office.EXCEL.EXE.15
Facebook                                           Chrome._crx_kippjfofjhcoapiogbkgbpmgej
Family                                             MicrosoftCorporationII.MicrosoftFamily_8wekyb3d8bbwe!App
Feedback Hub                                       Microsoft.WindowsFeedbackHub_8wekyb3d8bbwe!App
File Explorer                                      Microsoft.Windows.Explorer
File Manager Settings (Ubuntu-22.04)               Microsoft.AutoGenerated.{EA1F680D-F34E-670E-5543-72A6A76E7F03}
Files (Ubuntu-22.04)                               Microsoft.AutoGenerated.{5A7C25ED-B277-CE5A-402E-D556CB714F3E}
